src_id	rapport_titel	vergaderjaar	datum	doc_url	commissie	commissie_score	n_woorden	n_unieke_woorden	ttr	hapax_ratio	gem_zinslengte	n_nominalisaties	ratio_nominalisaties	formele_taal_ratio	n_afkortingen	ratio_afkortingen	n_vragen	n_unieke_antwoorden	n_verwijzingen	ratio_verwijzingen	gem_vraaglengte	gem_antwoordlengte	antwoord_vraag_ratio	vraag_ttr	n_ext_verwijzingen
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-ienm	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van IenM	2017-2018	5 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/06/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-ienm/Beantwoording_Kamervragen_VO2017_IenM.pdf		0.0	1170	395	0.3376	0.6	25.08	75	6.41	0.4188	27	2.31	7	7	0	0.0	28.86	114.29	3.96	0.8891	0
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-szw				https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/06/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-szw/Beantwoording%2Bkamervragen%2BVO%2B2017%2BSZW.pdf	Vaste commissie voor Financiën	100.0	1	1	1.0	1.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0
rekenkamer__kamerstuk:2018:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-justitie-en-veiligheid	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Justitie en Veiligheid	<UNKNOWN>	7 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/07/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-justitie-en-veiligheid/Beantwoording_Kamervragen_VO2017_JenV.pdf	Vaste commissie voor Justitie en Veiligheid	90.7	1229	394	0.3206	0.6041	24.75	84	6.83	0.3938	23	1.87	14	14	0	0.0	29.29	44.93	1.534	0.8296	0
rekenkamer__kamerstuk:2018:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-vws	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van VWS	2017	7 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/07/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-vws/Beantwoording_Kamervragen_VO2017_VWS.pdf	Vaste commissie voor Volksgezondheid, Welzijn en Sport	71.4	3100	774	0.2497	0.5866	21.79	127	4.1	0.4029	88	2.84	28	23	5	0.1786	28.32	87.52	3.09	0.8148	0
rekenkamer__kamerstuk:2018:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-onderwijs-cultuur-en-wetenschap	Beantwoording vragen Tweede Kamer over de Resultaten Verantwoordingsonderzoek 2017 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	2017	8 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/08/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-onderwijs-cultuur-en-wetenschap/Beantwoording_kamervragen_VO_2017_OCW.pdf	Vaste commissie voor Defensie	67.9	757	259	0.3421	0.5714	22.19	46	6.08	0.424	23	3.04	8	6	2	0.25	24.25	59.17	2.44	0.9057	0
rekenkamer__kamerstuk:2018:06:11:beantwoording-kamervragen-adviescommissie-verslaggevingsstelsel-rijksoverheid	Beantwoording vragen Tweede Kamer over brief 5 april 2018 inzake kabinetsreactie op rapport Adviescommissie Verslaggevingsstelsel rijksoverheid	2017-2018	11 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/11/beantwoording-kamervragen-adviescommissie-verslaggevingsstelsel-rijksoverheid/Beantwoording_vragen_TK_brief_5_april_2018_kabinetsreactie.pdf	Vaste commissie voor Financiën	88.9	3110	899	0.2891	0.5751	27.54	202	6.5	0.4595	68	2.19	29	29	0	0.0	10.62	61.21	5.764	0.9763	0
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-jaarverslag-van-het-gemeentefonds	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het gemeentefonds	<UNKNOWN>	13 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/13/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-jaarverslag-van-het-gemeentefonds/Beantwoording_Kamervragen_VO2017_Gemeentefonds.pdf	Vaste commissie voor Binnenlandse Zaken	91.7	342	157	0.4591	0.6943	30.25	16	4.68	0.4064	21	6.14	1	1	0	0.0	40.0	155.0	3.875	0.7949	1
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-jaarverslag-van-wonen-en-rijksdienst	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van Wonen en Rijksdienst	<UNKNOWN>	13 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/13/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-jaarverslag-van-wonen-en-rijksdienst/Beantwoording_Kamervragen_VO2017_WenR.pdf	Vaste commissie voor Binnenlandse Zaken	89.7	426	199	0.4671	0.6935	28.06	20	4.69	0.4343	19	4.46	1	1	0	0.0	47.0	188.0	4.0	0.7872	0
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-de-staat-van-de-rijksverantwoording	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017: de Staat van de rijksverantwoording	2017-2018	13 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/13/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-de-staat-van-de-rijksverantwoording/Beantwoording_kamervragen_Staat_van_de_rijksverantwoording.pdf	Vaste commissie voor Financiën	88.9	1064	413	0.3882	0.6755	21.55	59	5.55	0.4135	25	2.35	5	5	0	0.0	18.2	149.8	8.231	0.8733	2
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-het-rapport-bij-de-nationale-verklaring-2018	Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale Verklaring 2018	2017-2018	13 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/13/beantwoording-vragen-tweede-kamer-over-het-rapport-bij-de-nationale-verklaring-2018/Beantwoording_kamervragen_rapport_National_verklaring_2018.pdf	Vaste commissie voor Financiën	88.9	1024	348	0.3398	0.5661	23.09	60	5.86	0.4248	83	8.11	5	5	0	0.0	21.2	158.0	7.453	0.8218	2
