Id,Titel,Nummer,Toevoeging,HoogsteVolgnummer,Kamer,Verwijderd
7e2c2c83-577d-4f97-8882-0289e568b902,"Verdrag tussen het Koninkrijk der Nederlanden en de Republiek Colombia tot het vermijden van dubbele belasting met betrekking tot belastingen naar het inkomen en het voorkomen van het ontduiken en ontwijken van belasting, met Protocol; ‘s Gravenhage, 16 februari 2022",36223.0,,3.0,Eerste Kamer en Tweede Kamer,False
742c497c-3509-4d81-97dd-0296073c26d3,"Goedkeuring van het op 29 augustus 2021 te Abu Dhabi tot stand gekomen Verdrag tussen het Koninkrijk der Nederlanden en de Verenigde Arabische Emiraten inzake wederzijdse rechtshulp in strafzaken (Trb. 2021, 116) ",36232.0,(R2174),7.0,Tweede Kamer,False
e1538991-45ba-4ce2-8974-029df5ef6bcb,"Goedkeuring van het Besluit houdende de vijfde verlenging van de geldingsduur van bepalingen van de Tijdelijke wet maatregelen covid-19 (Stb. 2022, 76) (Goedkeuringswet vijfde verlenging geldingsduur Tijdelijke wet maatregelen covid-19)",36042.0,,17.0,Tweede Kamer,False
6f492e26-627f-4735-a65f-029f2f747c66,Verslag van een werkbezoek aan Duitsland door een delegatie van de vaste commissie voor Infrastructuur en Waterstaat,35132.0,,1.0,Tweede Kamer,False
3fde0643-dba3-417b-ab17-02b1b5e43254,Jaarverslag en slotwet Koninkrijksrelaties 2010 ,32710.0,IV,7.0,Tweede Kamer,False
d3feb0c8-8109-4e6a-82b2-02b696c0e985,Wijziging van de begrotingsstaat van de Staten-Generaal (IIA) voor het jaar 2010 (wijziging samenhangende met de Voorjaarsnota) ,32395.0,IIA,2.0,Tweede Kamer,False
b6ff7d8d-d5de-405d-be4b-02bb287baa07,Monumentenzorg,32156.0,,140.0,Tweede Kamer,False
68ff1b54-2b6f-414e-9c00-02c03606527c,Inhandenstelling rapporten van de Algemene Rekenkamer,33128.0,,3.0,Tweede Kamer,False
20837321-a124-45cb-ad84-02c7e14775de,Wijziging van de begrotingsstaat voor Buitenlandse Handel en Ontwikkelingssamenwerking (XVII) voor het jaar 2024 (wijziging samenhangende met Najaarsnota),36625.0,XVII,3.0,Tweede Kamer,False
500f938b-a176-4315-8e73-02d82d09bc38,Aanvulling van de Algemene wet bestuursrecht met bepalingen over nadeelcompensatie en schadevergoeding bij onrechtmatige overheidsdaad (Wet nadeelcompensatie en schadevergoeding bij onrechtmatige besluiten),32621.0,,11.0,Tweede Kamer,False
75d8ad3f-c681-4889-8010-0301d35398ad,"Wijziging van de Uitvoeringswet EG-betekeningsverordening en het Wetboek van Burgerlijke Rechtsvordering ter uitvoering van Verordening (EU) nr. 2020/1784 van het Europees Parlement en de Raad van 25 november 2020 inzake de betekening en de kennisgeving in de lidstaten van gerechtelijke en buitengerechtelijke stukken in burgerlijke of in handelszaken (de betekening en kennisgeving van stukken) (herschikking) (PbEU 2020, L 405/40) (Uitvoeringswet Betekeningsverordening)",36152.0,,8.0,Tweede Kamer,False
2aa49d15-ac88-447f-a2aa-03117c9df282,"Goedkeuring van het op 11 mei 2011 te Istanboel tot stand gekomen Verdrag van de Raad van Europa inzake het voorkomen en bestrijden van geweld tegen vrouwen en huiselijk geweld (Trb. 2012, 233)",34038.0,(R2039),16.0,Tweede Kamer,False
45d6a2ff-9e5b-483a-9780-0319000aac8a,Wijziging van de begrotingsstaat van de begroting voor Jeugd en Gezin (XVII) voor het jaar 2009 (wijziging samenhangende met de Voorjaarsnota),31965.0,XVII,3.0,Tweede Kamer,False
fc212ccb-f8d7-4896-88cd-032d68db8aa6,Verslag van de Algemene Rekenkamer over 2019,35465.0,,1.0,Tweede Kamer,False
959da47b-abad-4650-9605-033a15be285f,"Wijziging van de Wet elektriciteit en drinkwater BES (bevorderen uitvoerbaarheid), wijziging van de Wet volkshuisvesting, ruimtelijke ordening en milieubeheer BES en de Wet financiën openbare lichamen BES (uitbreiding van de zorgplicht voor afvalwater en verbreden heffingsgrondslag) en de Warenwet BES (afstemming drinkwaterwetgeving) ",36050.0,,6.0,Tweede Kamer,False
c1f8ec83-29b0-462f-9a90-03439d8b68a7,Ontslag van de staatssecretaris van Economische Zaken,33500.0,,2.0,Tweede Kamer,False
9a0afe03-15a4-46b4-adc6-034ac62354f3,"Wijziging van de Algemene Ouderdomswet, de Wet inkomensvoorziening oudere werklozen, de Wet werk en bijstand, de Wet inkomstenbelasting 2001 en de Wet op de loonbelasting 1964 in verband met verhoging en koppeling aan de ontwikkeling van de levensverwachting van de pensioenleeftijd, extra verhoging van  het AOW-ouderdomspensioen en introductie van de mogelijkheid het AOW-ouderdomspensioen desgevraagd geheel of gedeeltelijk eerder of later te laten ingaan (Wet verhoging pensioenleeftijd, extra verhoging AOW en flexibilisering ingangsdatum AOW)",33046.0,,36.0,Tweede Kamer,False
9870a58e-ad2e-4d59-9d1a-03585ba6f8ea,Beoordeling van kandidaat-ministers en -staatssecretarissen,28754.0,,3.0,Tweede Kamer,False
64b2e290-2b2b-435a-ade5-037dd8be70dc,Wijziging van de begrotingsstaat van het Ministerie van Klimaat en Groene Groei (XXIII) voor het jaar 2025 (wijziging samenhangende met de Najaarsnota),36850.0,XXIII,-1.0,Tweede Kamer,False
431af20e-d2a2-40e7-bf4c-037e7306de92,EU-voorstel: Voorstel voor een besluit inzake het achtste milieuactieprogramma COM (2020) 652,35701.0,,-1.0,Eerste Kamer,False
c8f280d8-6d27-49b5-b48b-0380fc6553f6,Wijziging van de begrotingsstaten van het Ministerie van Defensie (X) voor het jaar 2021 (wijziging samenhangende met de Najaarsnota),35975.0,X,3.0,Tweede Kamer,False
9af1c05f-4f13-4ed5-8b3e-039e576c4d10,Voorstel van de commissie voor de Werkwijze tot wijziging van het Reglement van Orde in verband met enige onderwerpen naar aanleiding van de Wet hergebruik van overheidsinformatie en de Wet open overheid,36058.0,,5.0,Tweede Kamer,False
fc5c2f86-2636-4151-b818-03a8ba3f3b8a,Wijziging van de begrotingsstaat van het BTW-compensatiefonds voor het jaar 2008 (wijziging samenhangende met de Najaarsnota),31792.0,G,3.0,Tweede Kamer,False
2b9f2fe3-42a2-45f7-b48e-03addc5eab97,Instellingsbesluit Actal 2011,32751.0,,2.0,Tweede Kamer,False
03c18fc4-57dd-4147-8041-03ba23f74165,Wijziging van een aantal onderwijswetten in verband met aanpassingen op het gebied van de doorstroom van het basisonderwijs naar het voortgezet onderwijs en wijziging van de stelselinrichting van doorstroomtoetsen en toetsen verbonden aan leerling- en onderwijsvolgsystemen in het basisonderwijs,35671.0,,30.0,Tweede Kamer,False
3fea7dca-6e52-43c0-9583-03beb052948d,Werkbezoek van een delegatie uit de commissie voor de Rijksuitgaven aan Europese instellingen,33636.0,,1.0,Tweede Kamer,False
d5d572bc-beea-44a6-a9f2-03c1347ba88d,"Protocol tussen de Republiek Armenië en de Benelux-Staten (het Koninkrijk België, het Groothertogdom Luxemburg, het Koninkrijk der Nederlanden) ter uitvoering van de Overeenkomst tussen de Europese Unie en de Republiek Armenië inzake de overname van personen die zonder vergunning op het grondgebied verblijven; Brussel, 20 juni 2018",35136.0,,1.0,Eerste Kamer en Tweede Kamer,False
3438e510-28ac-4f96-8e3e-03d2b427a7cf,Aanbeveling voor een lid van de Algemene Rekenkamer,32561.0,,1.0,Tweede Kamer,False
9d675d3b-9246-4326-9e02-03d4e433361c,Wijziging van enkele belastingwetten en enige andere wetten (Fiscale verzamelwet 2010),32401.0,,12.0,Tweede Kamer,False
a08c974c-cc41-42e1-8b94-03e2e9be01a8,"Wijziging van de rijkswet van 7 juli 2010 tot vaststelling van een zeegrens tussen Curaçao en Bonaire, en tussen Sint Maarten en Saba (Stb. 2010, 342), ter uitvoering van het op 6 april 2016 te Philipsburg tot stand gekomen Verdrag tussen de regering van het Koninkrijk der Nederlanden en de regering van de Franse Republiek inzake maritieme afbakening in het Caribisch gebied (Trb. 2016, 52 en 82)",34873.0,(R2098),4.0,Tweede Kamer,False
d66edd2d-82fa-41c4-be5b-03e600a10631,Planologische Kernbeslissing Nota Mobiliteit,29644.0,,94.0,Tweede Kamer,False
4f6b0238-a084-4eff-a93a-03f0f7cd7ace,"Besluit van 4 juli 2014 tot wijziging van enige besluiten op het terrein van onderwijs in verband met het vervangen van de verplichte maatschappelijke stage door een facultatief programmaonderdeel, het schrappen van het verplichte vak algemene natuurwetenschappen uit het gemeenschappelijk deel van de vwo-profielen en het invoeren van de vakbenaming Latijnse en Griekse taal en cultuur",33999.0,,1.0,Eerste Kamer en Tweede Kamer,False
385d888a-5b45-44d3-9add-03f27d0f46ab,Wijziging van de Rijkswet op het Nederlanderschap in verband met het intrekken van het Nederlanderschap in het belang van de nationale veiligheid,34356.0,(R2064),31.0,Tweede Kamer,False
3c8d9c43-9c48-43c3-81b3-040075a39d3a,"Goedkeuring en uitvoering van het op 12 november 2012 te Seoul tot stand gekomen Protocol tot uitbanning van illegale handel in tabaksproducten (Trb. 2014, 155)",35356.0,,6.0,Tweede Kamer,False
b214510b-b40f-46ad-9b73-0405c0df7d9f,"Wijziging van de Overeenkomst betreffende een eengemaakt octrooigerecht; Brussel, 26 juni 2023 (Trb. 2023,114)",36523.0,(R2191),2.0,Eerste Kamer en Tweede Kamer,False
7ec2f0f3-15ce-4cb7-8f2c-040d0eeb623c,Wijziging van Boek 2 van het Burgerlijk Wetboek in verband met het inroepen van een bedenktijd door het bestuur van een beursvennootschap ,35367.0,,19.0,Tweede Kamer,False
eb1b4249-4577-480d-8c85-041038da87ea,EU-trendrapport 2010,32306.0,,6.0,Tweede Kamer,False
8276557e-1833-419e-944d-0422f5d17f37,"Wijziging van de Wet minimumloon en minimumvakantiebijslag in verband met een bijzondere verhoging van het wettelijk minimumloon met 1,2 procentpunt met ingang van 1 juli 2024 (Wet verhoging minimumloon 2024)",36488.0,,19.0,Tweede Kamer,False
