date,count
1834-12-05,119
1834-12-08,4917
1834-12-09,3262
1834-12-11,286
1834-12-12,218
1834-12-16,229
1834-12-17,2373
1834-12-19,1168
1834-12-20,236
1834-12-22,2820
1834-12-23,8014
1835-04-06,258
1835-04-11,500
1835-04-13,1126
1835-04-15,2250
1835-04-23,3407
1835-04-24,5876
1835-04-25,9796
1835-10-22,727
1835-11-03,25
1835-11-23,15
1835-11-30,219
1835-12-02,2888
1835-12-05,1804
1835-12-07,1370
1835-12-10,1435
1835-12-11,5574
1835-12-12,3817
1835-12-17,488
1835-12-19,594
1835-12-21,1916
1835-12-22,6958
1835-12-23,8388
1835-12-24,10576
1836-03-01,8
1836-03-04,3470
1836-03-10,949
1836-04-07,151
1836-04-13,6176
1836-04-16,2237
1836-04-18,2126
1836-04-19,1637
1836-04-26,23
1836-10-18,77
1836-10-20,574
1836-10-29,59
1836-12-14,3107
1836-12-15,2092
1836-12-16,903
1837-02-15,16
1837-03-03,4
1837-03-09,7729
1837-04-28,69
1837-05-02,17
1837-05-05,3083
1837-05-06,982
1837-10-16,79
1837-12-05,113
1837-12-15,6027
1837-12-16,4336
1837-12-18,1856
1837-12-19,134
1837-12-21,2464
1837-12-22,284
1838-03-07,237
1838-03-12,4002
1838-03-13,1504
1838-03-21,313
1838-03-23,766
1838-03-26,563
1838-03-31,44
1838-04-02,5580
1838-10-16,109
1838-10-18,217
1838-11-01,19
1838-11-28,653
1838-12-04,69
1838-12-07,946
1838-12-12,390
1838-12-14,4388
1838-12-18,306
1838-12-20,1186
1839-03-11,3265
1839-03-14,1469
1839-03-15,1628
1839-03-18,5003
1839-03-19,4133
1839-07-22,34
1839-10-22,61
1839-10-24,173
1839-11-06,88
1839-12-10,357
1839-12-14,139
1839-12-18,4862
1839-12-19,4101
1839-12-20,596
1839-12-21,340
1839-12-23,1868
1839-12-24,495
1839-12-28,2299
1840-03-21,2430
1840-03-25,1178
1840-04-23,6
1840-05-06,23
1840-05-13,78
1840-05-18,6707
1840-05-27,1640
1840-06-01,2331
1840-06-02,4642
1840-06-03,6784
1840-06-04,4556
1840-06-05,1030
1840-06-09,2
1840-06-15,13
1840-08-05,157
1840-08-06,796
1840-08-10,144
1840-08-27,6244
1840-08-28,3583
1840-08-29,6681
1840-08-31,4940
1840-09-01,2447
1840-09-02,3705
1840-09-05,16
1840-10-20,104
1840-10-22,252
1840-10-28,1191
1840-10-31,50
1840-11-07,118
1840-11-11,119
1840-12-04,57
1840-12-08,255
1840-12-12,115
1840-12-15,2543
1840-12-16,1123
1840-12-18,53
1840-12-19,90
1840-12-21,4193
1840-12-22,2861
1840-12-23,7863
1840-12-28,925
1840-12-29,1435
1841-03-09,441
1841-03-10,1669
1841-03-15,809
1841-03-19,998
1841-03-20,1785
1841-03-23,198
1841-03-26,523
1841-04-20,38
1841-04-23,723
1841-04-30,511
1841-05-08,422
1841-05-14,3082
1841-05-15,2726
1841-05-19,686
1841-05-22,1225
1841-05-25,3076
1841-05-27,4294
1841-08-16,29
1841-08-17,825
1841-08-21,314
1841-08-28,474
1841-08-30,195
1841-09-03,177
1841-09-07,72
1841-09-11,13
1841-09-13,3276
1841-09-14,3554
1841-09-15,1680
1841-09-16,3743
1841-09-17,406
1841-09-21,36
1841-09-23,225
1841-09-25,93
1841-09-30,19
1841-10-02,221
1841-10-04,1500
1841-10-05,3366
1841-10-07,5754
1841-10-08,5012
1841-10-09,5263
1841-10-15,56
1841-10-21,102
1841-10-25,55
1841-10-28,354
1841-10-30,466
1841-11-02,284
1841-11-04,147
1841-11-05,1640
1842-02-09,23
1842-02-17,248
1842-02-24,315
1842-02-28,508
1842-04-26,143
1842-04-27,1430
1842-04-30,450
1842-05-07,241
1842-05-13,963
1842-05-24,18
1842-05-26,1270
1842-05-31,1417
1842-06-08,1724
1842-06-13,2935
1842-06-14,2685
1842-06-15,1217
1842-06-18,3612
1842-06-20,113
1842-06-21,622
1842-06-24,530
1842-06-29,70
1842-06-30,2978
1842-07-01,2112
1842-07-02,3367
1842-07-04,13
1842-07-05,4322
1842-07-11,66
1842-10-18,552
1842-10-20,111
1842-10-21,1658
1842-10-24,39
1842-10-26,281
